id,company_id,date,open,high,low,close,volume
1,1,2025-04-01,50.0,50.2,47.16,47.77,4843
2,1,2025-04-02,47.77,48.38,46.92,48.27,4122
3,1,2025-04-03,48.27,48.57,47.15,48.06,5374
4,1,2025-04-04,48.06,49.02,47.17,48.26,5863
5,1,2025-04-05,48.26,48.28,46.83,47.46,5070
6,1,2025-04-06,47.46,48.74,46.75,48.56,5843
7,1,2025-04-07,48.56,48.57,47.56,48.34,5678
8,1,2025-04-08,48.34,48.72,48.0,48.57,5072
9,1,2025-04-09,48.57,51.78,47.7,50.85,4632
10,1,2025-04-10,50.85,53.2,49.94,52.53,4816
11,2,2025-04-01,75.0,75.05,71.49,72.4,8709
12,2,2025-04-02,72.4,75.41,71.35,74.09,8672
13,2,2025-04-03,74.09,76.78,72.81,75.57,8245
14,2,2025-04-04,75.57,76.64,74.49,75.3,8857
15,2,2025-04-05,75.3,76.64,73.05,73.6,7718
16,2,2025-04-06,73.6,78.25,73.59,76.9,8981
17,2,2025-04-07,76.9,79.14,75.88,77.8,8489
18,2,2025-04-08,77.8,82.28,76.84,81.43,8990
19,2,2025-04-09,81.43,82.57,80.84,82.27,7810
20,2,2025-04-10,82.27,82.83,81.54,81.68,7322
21,3,2025-04-01,40.0,41.71,39.43,41.0,4494
22,3,2025-04-02,41.0,42.03,40.81,41.66,4799
23,3,2025-04-03,41.66,42.62,40.84,41.93,4010
24,3,2025-04-04,41.93,42.58,40.61,41.21,4723
25,3,2025-04-05,41.21,42.25,40.82,42.24,4739
26,3,2025-04-06,42.24,42.79,42.12,42.48,4222
27,3,2025-04-07,42.48,43.19,42.07,42.27,3774
28,3,2025-04-08,42.27,42.97,41.21,41.41,3375
29,3,2025-04-09,41.41,42.72,40.9,42.71,4625
30,3,2025-04-10,42.71,42.83,40.61,41.21,3937
31,4,2025-04-01,60.0,62.76,58.87,61.73,5037
32,4,2025-04-02,61.73,61.99,58.92,59.84,5341
33,4,2025-04-03,59.84,60.67,58.31,59.09,6818
34,4,2025-04-04,59.09,59.74,55.44,56.27,5542
35,4,2025-04-05,56.27,56.99,54.29,55.25,6133
36,4,2025-04-06,55.25,56.78,54.77,56.06,6308
37,4,2025-04-07,56.06,57.54,55.21,56.61,6957
38,4,2025-04-08,56.61,57.11,56.15,56.16,5249
39,4,2025-04-09,56.16,56.66,53.81,54.61,5356
40,4,2025-04-10,54.61,55.06,53.85,54.67,5018
41,5,2025-04-01,30.0,31.18,29.88,30.64,2338
42,5,2025-04-02,30.64,30.81,29.76,30.24,2828
43,5,2025-04-03,30.24,30.76,28.76,28.81,2763
44,5,2025-04-04,28.81,30.13,28.78,30.09,3585
45,5,2025-04-05,30.09,30.87,29.94,30.32,2751
46,5,2025-04-06,30.32,31.24,30.05,30.86,2993
47,5,2025-04-07,30.86,31.29,30.0,30.09,2687
48,5,2025-04-08,30.09,30.09,28.45,28.89,2436
49,5,2025-04-09,28.89,29.6,28.5,29.12,3506
50,5,2025-04-10,29.12,29.7,28.88,29.17,3540
